"AML_SNP"	"BLCA_SNP"	"BRCA_SNP"	"CARC_SNP"	"CLL_SNP"	"CRC_SNP"	"DLBCL_SNP"	"ESO_SNP"	"GBM_SNP"	"HNSC_SNP"	"KIRC_SNP"	"LUAD_SNP"	"LUSC_SNP"	"MED_SNP"	"MEL_SNP"	"MM_SNP"	"NB_SNP"	"OV_SNP"	"PRAD_SNP"	"RHAB_SNP"	"UCEC_SNP"
"wgEncodeAffyRnaChipTransfragsK562ChromatinTotal"	2.91833033936102e-08	2.10690517634403e-149	3.99248012931326e-55	0.0658353957807818	-0.289213078749728	4.08140391351181e-29	0.39571835970558	-1.74417821564659e-30	-8.7497064377565e-25	2.2089938771821e-12	5.88912033783291e-86	-4.98111349877012e-170	-1.56313360789897e-29	0.0286818215307	-3.65691056910569e-305	3.16799627961978e-07	0.94358077703656	5.89950027178088e-08	0.00985313839860352	-1	9.39797656250259e-125
"wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya"	2.20239853091263e-05	2.86544090061383e-82	5.09656949678588e-33	0.00706252679626172	0.898850394332823	1.10248653843419e-09	0.00224562443085866	-2.16762329726442e-23	-8.63078548753604e-10	0.000222435315121764	2.08598630777122e-41	-2.57092832028411e-94	-3.13508369376998e-20	0.04287115729767	-6.88233748705465e-257	1.07152065599495e-07	-1	0.00297377830879391	0.0169230102900238	0.358372163937818	2.99456374881483e-71
"wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya"	9.34829018193139e-07	1.20993536773102e-179	2.38434221298169e-65	0.00817551933506811	-0.52274191859721	1.0394477936122e-25	0.400434892824991	-1.65553329793299e-31	-1.4491100236524e-16	1.81693573304344e-07	2.8931747324549e-95	-5.52401943865054e-196	-1.28548442178224e-26	0.144228872418347	-3.65691056910569e-305	8.08063225260855e-07	0.981810726472178	9.9680127285321e-11	0.00177439564570472	1	4.2031739981287e-116
"wgEncodeAffyRnaChipTransfragsK562NucleolusTotal"	1.67630879393746e-08	2.88834807861666e-120	1.31648937320703e-55	0.0201910928030449	-0.601678760573125	1.05625386214483e-14	0.022302859359613	-4.34540253616265e-20	-4.13609205924344e-18	3.36354817874833e-07	1.0618214233583e-66	-1.25131537398201e-123	-3.78284692653191e-22	0.198389116103369	-3.65691056910569e-305	1.45534083872888e-08	1	9.92960546268536e-08	0.012781682372262	0.757595237414175	1.09081946757666e-97
"wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal"	2.84315654961654e-08	2.33346975183645e-133	3.88653892039212e-44	0.00204074214075751	-0.675957405677865	5.80017571358247e-06	0.0099098484218343	-1.44809821908842e-17	-9.414157294178e-14	9.99017133945141e-09	9.50443128124471e-70	-6.54094850303943e-108	-4.62216860757926e-22	0.0708611880579613	-3.65691056910569e-305	1.28175159491187e-08	0.69226385195686	9.13191944763729e-14	0.000636336158501919	-0.899483484044	1.14307221447924e-56
"wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya"	0.0204972179155499	8.86583587035444e-90	8.76993435828277e-30	0.05896889806412	-0.202385461634068	4.92131922234916e-12	0.00594426388961631	-2.03619141718786e-20	-4.13977229082905e-12	7.45304336362971e-06	2.51108911617295e-53	-5.61414831601e-88	-5.05805409295124e-19	0.0551777674847495	-3.65691056910569e-305	1.68680664477638e-09	0.977539900216817	9.33841588661966e-05	0.0175037782496741	1	7.03373284310862e-66
"wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya"	6.39290385136026e-09	7.20744777168761e-169	6.09487151848073e-57	0.00506007524828196	-0.282337147103886	2.93360240374504e-16	0.0569589304763193	-1.2993895977949e-23	-3.6704626809629e-20	2.47219389725558e-12	1.24877555609482e-86	-7.49297243611554e-167	-3.35353063519079e-31	0.200249896807147	-3.65691056910569e-305	1.46420241888878e-07	1	1.97494714700464e-11	0.0827193226003205	-1	3.13316048616638e-107
"wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya"	6.89961196378786e-06	1.47934960980053e-147	1.09871523525122e-50	0.271608334162742	1	3.11676397534018e-25	0.302672882714804	-1.78881470508502e-34	-6.07294282521248e-25	1.45338154636651e-05	7.64170126589752e-76	-2.64078592583893e-173	-3.83146692852085e-29	0.0286818215307	-3.65691056910569e-305	6.08860870821057e-06	1	0.00384387472197032	0.0170661784601288	0.702102850908199	2.89891767229926e-116
"wgEncodeAffyRnaChipTransfragsHepg2CytosolLongnonpolya"	8.02044755643284e-11	1.03744145673762e-120	2.63815151298078e-34	0.0111392537455932	0.23297866016237	7.43649927804817e-27	0.00221972885370165	-2.28814224050952e-23	-4.26663915060077e-11	2.0168867550532e-05	2.65754519560072e-62	-5.68325847463628e-124	-1.99736839292616e-35	0.10419453222746	-3.65691056910569e-305	2.16201423690788e-09	0.924695887481685	5.68124803664678e-15	0.0642810556704641	0.784853322714069	8.44501587063644e-77
"wgEncodeAffyRnaChipTransfragsHepg2CytosolLongpolya"	1.48084563562787e-08	4.32907609512856e-173	4.59451845511146e-58	0.000807783968464151	0.835048612635446	4.10844567164736e-32	0.179467219800854	-1.22136852796806e-32	-4.07996200212591e-17	1.00343965013691e-11	5.27629311138897e-94	-5.75849499160071e-230	-4.28965835397162e-50	0.101029040647058	-3.65691056910569e-305	5.19331085085064e-11	0.640918718999447	2.59015928294686e-21	0.00275878236585638	0.888125759547393	1.98036007239695e-133
