	Row.names	c1	c2	adj.P.Val	V2
34	wgEncodeBroadHistoneGm12878H3k9me3StdPk	2.12850398313374e-10	0.0399314256734551	0.0164821083676251	GM12878 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
35	wgEncodeBroadHistoneCd20H2azPk	5.60764886903119e-08	0.258324163776106	0.0173106722895025	CD20+ H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad
36	wgEncodeBroadHistoneGm12878H2azStdPk	8.37862130505939e-11	0.237717721100814	0.0188160206728785	GM12878 H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad
37	wgEncodeBroadHistoneMonocd14ro1746H3k27me3Pk	-0.00365208332426096	0.0930796896029855	0.0236138313350028	Monocytes CD14+ H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
38	wgEncodeBroadHistoneNhdfadEzh239875Pk	-0.0379247982618862	0.00842707952187542	0.0245572241339894	NHDF-Ad EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad
39	wgEncodeBroadHistoneMonocd14ro1746H3k27acPk	0.000505393605905968	-0.692975765763047	0.0259996174072367	Monocytes CD14+ H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
40	wgEncodeBroadHistoneGm12878CtcfStdPk	1.35086977437077e-07	0.534133023049968	0.0259996174072367	GM12878 CTCF Histone Mods by ChIP-seq Peaks from ENCODE/Broad
41	wgEncodeBroadHistoneDnd41Ezh239875Pk	-0.050086835898424	0.00751075080691511	0.0342624032225884	Dnd41 EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad
42	wgEncodeBroadHistoneMonocd14ro1746H3k09me3Pk	-0.00920424314216723	-0.932321701316569	0.0415818083206798	Monocytes CD14+ H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
43	wgEncodeBroadHistoneNhaEzh239875Pk	-0.00511062880560753	0.0023540866374075	0.042979743543458	NH-A EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad
44	wgEncodeBroadHistoneGm12878H3k27me3StdPkV2	-0.00181450597636775	0.00844320119156067	0.0486706504088373	GM12878 H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
45	wgEncodeBroadHistoneOsteoP300kat3bPk	-0.00307706345773783	0.000477531008398181	0.0590013845545785	Osteoblasts P300 KAT3B Histone Mods by ChIP-seq Peaks from ENCODE/Broad
46	wgEncodeBroadHistoneHmecH3k27me3StdPk	-0.0238802378188237	5.58770000287109e-06	0.061907054760359	HMEC H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
47	wgEncodeBroadHistoneDnd41H3k27acPk	9.99297570128222e-06	0.338616226710733	0.0647772647047659	Dnd41 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
48	wgEncodeBroadHistoneNhlfH3k27me3StdPk	-0.00999405934435743	0.0145420713643109	0.0698623039513105	NHLF H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
49	wgEncodeBroadHistoneMonocd14ro1746H3k36me3Pk	0.00257509949081224	-0.386986339111669	0.0833371855711715	Monocytes CD14+ H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
50	wgEncodeBroadHistoneA549H3k27me3Dex100nmPk	-0.00646113049427812	0.000585527406653924	0.0864598908371975	A549 DEX 100 nM H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
51	wgEncodeUwHistoneGm12865H3k04me3StdPkRep1	0.00314131033449232	0.807235602785918	0.0909490770301555	GM12865 H3K4me3 Histone Mod ChIP-seq Peaks 1 from ENCODE/UW
52	wgEncodeBroadHistoneGm12878H3k4me1StdPk	1.45848153800429e-13	0.136929207987363	0.00145441904211959	NA
53	wgEncodeBroadHistoneGm12878H3k4me3StdPk	1.93951189647371e-10	0.933420283107169	0.000117089812732022	NA
54	wgEncodeBroadHistoneGm12878H3k27me3StdPk	-0.000392885593352174	0.0651864862662558	0.0695363601999223	NA
	Row.names	c1	c4	adj.P.Val	V2
1	wgEncodeUwHistoneGm12875H3k04me3StdHotspotsRep1	0.000521236779338233	-0.391906072256618	2.0562360313302e-07	GM12875 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
2	wgEncodeBroadHistoneGm12878H3k4me2StdPk	8.78240579522567e-09	-0.0281063120192845	4.14330393141783e-06	GM12878 H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
3	wgEncodeBroadHistoneGm12878H3k9acStdPk	3.8488994031186e-12	-0.138326791385009	4.14330393141783e-06	GM12878 H3K9ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
4	wgEncodeBroadHistoneGm12878H3k79me2StdPk	1.86704543211768e-08	-0.00565649618950991	5.04712131493728e-06	GM12878 H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
