Disease 1	Disease 2	Corr. coefficient
Fasting_glucose_related_traits	Red_blood_cell_traits	0.0427141711115837
Systemic_lupus_erythematosus	Type_1_diabetes	0.0425672009587288
Asthma	Atopic_dermatitis	0.0414831191301346
Allergy	Restless_legs_syndrome	0.0410691350698471
Bone_mineral_density	Type_1_diabetes	0.0410136021673679
Bone_mineral_density	Red_blood_cell_traits	0.0409999899566174
Behcets_disease	Juvenile_idiopathic_arthritis	0.0408417657017708
Behcets_disease	Systemic_sclerosis	0.0404836237430573
Primary_sclerosing_cholangitis	Systemic_lupus_erythematosus	0.0404336117208004
Allergy	Asthma	0.0398546904325485
C_reactive_protein	Platelet_counts	0.0391618646681309
C_reactive_protein	Urate_levels	0.038589421659708
Alopecia_areata	Juvenile_idiopathic_arthritis	0.0378485582768917
Migraine	Ulcerative_colitis	0.0373443141579628
Creatinine_levels	Urate_levels	0.0371235273778439
Fasting_glucose_related_traits	Primary_biliary_cirrhosis	0.0370059311389923
Juvenile_idiopathic_arthritis	LDL_cholesterol	0.0359398573637009
Asthma	Rheumatoid_arthritis	0.0358764566481113
Allergy	Primary_biliary_cirrhosis	0.0355313867330551
Red_blood_cell_traits	Urate_levels	0.0354898348450661
Platelet_counts	Systemic_sclerosis	0.0344018414616585
Alzheimers_combined	Renal_function_related_traits_BUN	0.0342372059822083
Renal_function_related_traits_BUN	Restless_legs_syndrome	0.0336096994578838
Fasting_glucose_related_traits	Renal_function_related_traits_BUN	0.0334279537200928
Asthma	Vitiligo	0.0334267169237137
Kawasaki_disease	Type_1_diabetes	0.0332150757312775
Autoimmune_thyroiditis	Ulcerative_colitis	0.0329272262752056
Fasting_glucose_related_traits	Juvenile_idiopathic_arthritis	0.032353650778532
Creatinine_levels	Ulcerative_colitis	0.0316765420138836
Ankylosing_spondylitis	Primary_sclerosing_cholangitis	0.0316115021705627
Behcets_disease	LDL_cholesterol	0.0309176556766033
Celiac_disease	Primary_sclerosing_cholangitis	0.0308374911546707
Migraine	Platelet_counts	0.0303718037903309
Fasting_glucose_related_traits	Liver_enzyme_levels_gamma_glutamyl_transferase	0.0292630959302187
Autoimmune_thyroiditis	Primary_sclerosing_cholangitis	0.0292540565133095
Atopic_dermatitis	Psoriasis	0.0291933510452509
Juvenile_idiopathic_arthritis	Renal_function_related_traits_BUN	0.0282965619117022
Ankylosing_spondylitis	Red_blood_cell_traits	0.0277942921966314
Migraine	Progressive_supranuclear_palsy	0.0272874403744936
Platelet_counts	Renal_function_related_traits_BUN	0.0270986054092646
Alzheimers_combined	Progressive_supranuclear_palsy	0.027055473998189
Autoimmune_thyroiditis	Psoriasis	0.0269104018807411
Ankylosing_spondylitis	Migraine	0.0267979223281145
Behcets_disease	Vitiligo	0.026088435202837
Juvenile_idiopathic_arthritis	Triglycerides	0.0256475880742073
Liver_enzyme_levels_gamma_glutamyl_transferase	Restless_legs_syndrome	0.0256236847490072
Crohns_disease	Fasting_glucose_related_traits	0.0248839985579252
Platelet_counts	Primary_sclerosing_cholangitis	0.0248723607510328
Alzheimers_combined	LDL_cholesterol	0.0236449185758829
Alopecia_areata	Red_blood_cell_traits	0.0227890238165855
Behcets_disease	Primary_biliary_cirrhosis	0.0225084740668535
HDL_cholesterol	Type_2_diabetes	0.0214475952088833
Ankylosing_spondylitis	Systemic_sclerosis	0.0212054513394833
Asthma	Triglycerides	0.0209198612719774
Migraine	Primary_biliary_cirrhosis	0.0191298015415668
Juvenile_idiopathic_arthritis	Vitiligo	0.0187857132405043
Autoimmune_thyroiditis	Primary_biliary_cirrhosis	0.0183319635689259
Renal_function_related_traits_BUN	Type_1_diabetes	0.0179604515433311
Alopecia_areata	Progressive_supranuclear_palsy	0.0179288201034069
Fasting_glucose_related_traits	Restless_legs_syndrome	0.0170567389577627
Asthma	Fasting_glucose_related_traits	0.0169301591813564
Asthma	Crohns_disease	0.0169242490082979
Bone_mineral_density	Vitiligo	0.0168387871235609
Allergy	Creatinine_levels	0.0163872633129358
Celiac_disease	Type_1_diabetes	0.0158600471913815
Chronic_kidney_disease	Progressive_supranuclear_palsy	0.0156954564154148
HDL_cholesterol	Juvenile_idiopathic_arthritis	0.0156336054205894
Kawasaki_disease	Primary_sclerosing_cholangitis	0.01543612126261
Multiple_sclerosis	Primary_sclerosing_cholangitis	0.0153762316331267
Alzheimers_combined	Platelet_counts	0.0153162470087409
Behcets_disease	Bone_mineral_density	0.0147266797721386
Progressive_supranuclear_palsy	Vitiligo	0.0146510079503059
Alzheimers_combined	Behcets_disease	0.0140881724655628
C_reactive_protein	Juvenile_idiopathic_arthritis	0.0138446465134621
Ankylosing_spondylitis	C_reactive_protein	0.0137331318110228
Urate_levels	Vitiligo	0.0133040649816394
Primary_sclerosing_cholangitis	Rheumatoid_arthritis	0.0132537018507719
Atopic_dermatitis	Autoimmune_thyroiditis	0.0120306527242064
Alzheimers_combined	Vitiligo	0.0120090339332819
Bone_mineral_density	Renal_function_related_traits_BUN	0.0119391744956374
Alzheimers_combined	Creatinine_levels	0.0117109408602118
Allergy	Primary_sclerosing_cholangitis	0.0109319370239973
Behcets_disease	Triglycerides	0.0106637496501207
Allergy	Ankylosing_spondylitis	0.0105869425460696
Type_1_diabetes	Type_2_diabetes	0.0105517925694585
Creatinine_levels	Renal_function_related_traits_BUN	0.0101267630234361
Asthma	Type_1_diabetes	0.00931783579289913
Bone_mineral_density	Progressive_supranuclear_palsy	0.00851187855005264
Restless_legs_syndrome	Vitiligo	0.00800278503447771
Atopic_dermatitis	Red_blood_cell_traits	0.00749595416709781
Crohns_disease	Urate_levels	0.00738899502903223
Progressive_supranuclear_palsy	Restless_legs_syndrome	0.00711894733831286
Ankylosing_spondylitis	Fasting_glucose_related_traits	0.00711016589775681
Creatinine_levels	Type_1_diabetes	0.00623436225578189
Atopic_dermatitis	Systemic_sclerosis	0.00591816939413548
Primary_sclerosing_cholangitis	Red_blood_cell_traits	0.00584920542314649
Creatinine_levels	Migraine	0.00564344599843025
Autoimmune_thyroiditis	Type_1_diabetes	0.00563643360510468
Behcets_disease	Migraine	0.0055450526997447
Crohns_disease	Triglycerides	0.0054147900082171
Systemic_sclerosis	Vitiligo	0.00537185743451118
Rheumatoid_arthritis	Systemic_sclerosis	0.00524448929354548
Ankylosing_spondylitis	Atopic_dermatitis	0.00496557727456093
Creatinine_levels	Type_2_diabetes	0.00415549473837018
Juvenile_idiopathic_arthritis	Primary_biliary_cirrhosis	0.00372642138972878
Ankylosing_spondylitis	Creatinine_levels	0.0035800919868052
Alzheimers_combined	Juvenile_idiopathic_arthritis	0.00322767975740135
