"MEL_SNP"	"MED_SNP"	"NB_SNP"	"AML_SNP"	"LUSC_SNP"	"CLL_SNP"	"GBM_SNP"	"LUAD_SNP"	"CRC_SNP"	"ESO_SNP"	"OV_SNP"	"RHAB_SNP"	"KIRC_SNP"	"UCEC_SNP"	"DLBCL_SNP"	"BRCA_SNP"	"PRAD_SNP"	"MM_SNP"	"CARC_SNP"	"HNSC_SNP"	"BLCA_SNP"
"wgEncodeHaibTfbsGm12878Mef2csc13268V0416101PkRep1"	-0.000434741171166021	0.861054133624515	1	-1	0.798254413821699	5.49422893050269e-16	-0.0101624659161829	-0.154678368123694	-0.000498831527644122	-0.446952771938806	0.0357383237565345	0.572028487380462	-0.597709342887053	-5.09789063356447e-07	4.48476821782729e-56	0.00176149209865038	-1	1.61392314395912e-11	0.804945278003413	0.00384710383561318	0.104466736069415
"wgEncodeCshlLongRnaSeqHmscucCellTotalJunctions"	-1.06862563079228e-06	1	0.897768558728783	0.0022280863888971	-4.51088187549152e-09	-0.665258748561336	-1.54048080746316e-07	-2.4716674970223e-62	2.1481841479225e-17	-0.000963041700407359	0.0192697417195671	0.953905998691542	2.88727331452982e-33	-0.97793195123293	-0.332474722576941	0.0350165409837945	0.002173105924083	8.9597292968583e-14	0.974826497695488	0.00168082930254941	4.5062099825078e-74
"wgEncodeRikenCageHuvecCytosolPapTssHmm"	-3.91130434782609e-305	-1	-1	3.94875824854313e-06	-2.00569368649293e-23	0.971808178873718	-7.54255360474624e-26	-2.33824768840437e-89	8.78961743002002e-81	-6.78233783747338e-27	2.59672003208786e-10	-0.923137206893862	1.44330253547703e-50	1.64544259804775e-107	-0.493099540291675	7.82263233306133e-23	0.66995705471175	0.000343788412488568	0.535622684208339	0.0687650648007315	4.63092706205917e-62
"wgEncodeHaibMethylRrbsSkmcUwSitesRep2"	-3.56659050582976e-12	0.176455802690875	1	0.635837491874936	-0.0581532992105502	0.00460171998226775	1.57864305538407e-10	0.703407670123399	-0.525085327733561	0.000232904776862155	-0.0187308460297389	0.837364161975768	-0.00417281671716434	0.727970307236276	1.48080090522101e-13	-0.0841903527141333	0.0978453958856646	0.0100898719280136	0.363571967412901	0.140522349146128	-0.751737899893061
"wgEncodeRikenCageGm12878CytosolPapTssHmm"	-5.35323371627475e-226	-0.815826364735273	1	0.0285115889104337	-1.1030292402249e-12	-1	-1.23793871976893e-13	-2.67177136159717e-32	4.56952670333397e-33	-4.76909654616415e-21	2.54866790043556e-11	1	4.16541317404424e-30	1.60942776346878e-44	-0.879946837179373	1.17573798533422e-20	0.194821942905697	7.48914781779004e-08	-0.948824650203533	0.129656825325527	1.18109459395623e-44
"wgEncodeUwDgfHmfPkV2"	-1.94655723253554e-20	-0.665732992042618	1	-1	1	-0.407030763316563	-0.576667038731202	-0.000545257624861531	-0.195014156788243	0.588425640772475	0.153391935153695	1	4.46647929951163e-15	-7.03599678040147e-06	0.0342322622095857	0.00125311949736961	1	0.218524795986716	0.94076592702684	1.1273463820082e-06	2.62681132885495e-41
"wgEncodeSunyAlbanyGeneStGm12878SlbpRbpAssocRnaV2"	8.55440097440235e-44	0.862173067595876	0.902428983762858	-0.931104730699741	0.00834181512454982	-0.176883602002856	0.0114453959094183	0.00122648638999719	-2.44831642958508e-06	0.104143462360945	-0.908498289951263	-0.847889139918636	-0.00419168236641147	-4.04678455424713e-20	-0.187211561622447	-0.0239407910835158	-1	-0.100009121678569	-0.29721503530067	0.0925362832596508	-0.00236645484675481
"wgEncodeUwTfbsRptecCtcfStdPkRep2"	-6.27425828978495e-06	0.984848964555819	0.989129119415525	-0.630371721055417	0.187232619451238	0.766317448965819	-0.764751008079231	0.904894950954719	-0.00974820477053798	0.556676984666315	0.516339863991429	0.84189335283738	0.00611437443538564	-2.65151749227496e-13	1.05942235264577e-05	0.00501982190799096	0.89025531586482	8.73548437095222e-05	-0.915420448849869	0.02914870641751	2.75905797632336e-21
"wgEncodeHaibMethylRrbsGm12892HudsonalphagrowprotSitesRep1"	-2.66023229265817e-10	0.907973381454927	1	0.717866946763872	-0.369259048271246	0.100366027372711	1.26430772762271e-09	-0.989291424040452	-0.62657112275954	6.68522431238208e-07	-0.00836731813933708	-1	-0.000770578746006617	0.660214845884894	3.49039459837028e-13	-0.0315866204610369	0.210023814001337	0.0154872208914036	0.200483126103692	0.169331963502284	-0.739513667400725
"wgEncodeHaibTfbsK562CtcfcPcr1xPkRep1V2"	-5.99469799772223e-10	0.161214276397097	1	0.537025346572668	0.00750273198496859	0.318347251655831	0.00310953872388402	-0.0101790249314865	-1.83439661090527e-17	0.858158323359833	0.305475396752975	0.699738629193686	8.91121916062916e-17	-1.62844773465531e-22	1.83055801445256e-09	0.00011013788389926	-1	1.49111499183626e-15	-0.79470279922043	0.0127069420147865	1.81684099212772e-64
"wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep2"	-0.104048800119413	0.109085311662941	-1	-0.729109354044415	0.736939233699334	0.775595755112872	-0.692461629421725	-0.446638959481684	-9.3782790203866e-07	1	0.147850828479162	0.841946704554317	0.00012421315425391	-5.23914029232104e-13	0.000199107972203743	0.000869248556013436	-1	7.4810576102387e-07	0.989173894048695	0.00534188307366367	3.70675562942945e-23
"wgEncodeUwTfbsGm12875CtcfStdHotspotsRep2"	-1.72239951899004e-10	0.477192536326133	0.984970150991105	0.438404024741247	0.10811699149414	0.813712169095108	0.115613635413624	-0.011638898268143	-1.77608059970461e-11	-0.887914237276315	0.0770360480860371	0.634542095856517	1.29501980495227e-13	-1.22087309345089e-16	1.13649652027621e-10	0.0121081969706031	0.547714016080739	1.33532427257719e-06	0.976026290451344	2.34096287821244e-05	1.44350256213105e-49
